22 июн. 2024 - 18:40:00.890 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 5 migrations (execution time 00:00.027s)
22 июн. 2024 - 18:40:00.899 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 4
22 июн. 2024 - 18:40:00.903 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
22 июн. 2024 - 18:41:24.106 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22 июн. 2024 - 18:41:24.107 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22 июн. 2024 - 18:41:24.109 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
22 июн. 2024 - 18:45:13.974 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 18:45:13.976 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22 июн. 2024 - 18:45:13.978 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22 июн. 2024 - 18:49:20.199 [main] INFO  o.example.kun_uzz.KunUzzApplication - Starting KunUzzApplication using Java 22.0.1 with PID 3348 (C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12\kun_uz_git-master\target\classes started by ppmag in C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12)
22 июн. 2024 - 18:49:20.210 [main] INFO  o.example.kun_uzz.KunUzzApplication - No active profile set, falling back to 1 default profile: "default"
22 июн. 2024 - 18:49:21.268 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 июн. 2024 - 18:49:21.332 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 10 JPA repository interfaces.
22 июн. 2024 - 18:49:21.765 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
22 июн. 2024 - 18:49:21.775 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 июн. 2024 - 18:49:21.776 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
22 июн. 2024 - 18:49:21.852 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 июн. 2024 - 18:49:21.853 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1606 ms
22 июн. 2024 - 18:49:21.944 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
